Experiment,Source,Main change,Best/Test Accuracy,Delta vs Source,Params,Binary Ops / MAC-equivalent,Bias precision,Activation precision,Accumulator precision,Training/Fine-tune,Status,Decision,Evaluation split,Evidence
R5AB Progressive scaled W1A8,R4,scaled binary stem; progressive lambda,83.96,-2.15,270858,"40,108,032 binary-conv terms; 442,368 W1A8 select/negate stem terms; 640 FP FC products",FP,W1A8 stem; W1A1 backbone,not finite-width,100-epoch fine-tune,REJECTED,+0.19 pp vs R5 but below threshold,CIFAR-10 official TEST,R5AB_FINAL_REPORT.md; r5ab_summary.json
R5T T1 FP stem,R4,Thermometer R=8; FP latent stem,85.29,-0.82,284250,"40,108,032 binary backbone terms; 14,155,776 FP stem product sites",FP,A1 thermometer; FP stem,not finite-width,100-epoch adaptation,ABLATION,initialization source for R5T T2,CIFAR-10 official TEST,R5T_FINAL_REPORT.md; r5t_t1_summary.json
R5T T2 W1A1 stem,R5T T1,binary thermometer stem,85.0,-0.29,284250,"54,263,808 binary-conv terms; 640 classifier terms",FP,W1A1 stem/backbone,not finite-width,100-epoch fine-tune,SELECTED,binary stem exceeds R5/R5AB,CIFAR-10 official TEST,R5T_FINAL_REPORT.md; r5t_t2_summary.json
R5T-Long T1 FP stem,R4,200-epoch thermometer adaptation,85.89,-0.22,284250,"40,108,032 binary backbone terms; 14,155,776 FP stem product sites",FP,A1 thermometer; FP stem,not finite-width,200 epochs,ABLATION,+0.60 pp vs old T1,CIFAR-10 official TEST,R5T_LONG_FINAL_REPORT.md; r5t_long_t1_summary.json
R5T-Long T2 W1A1 stem,R5T-Long T1,200-epoch binary-stem adaptation,85.14,-0.75,284250,"54,263,808 binary-conv terms; 640 classifier terms",FP,W1A1 stem/backbone,not finite-width,200 epochs,SELECTED,source for R6,CIFAR-10 official TEST,R5T_LONG_FINAL_REPORT.md; r5t_long_t2_summary.json
R6 Stem BN to pow2 affine,R5T-Long T2,remove stem BN; signed-pow2 K,85.52,0.38,284250,"54,263,808 binary-conv terms; 640 classifier terms",FP B,W1A1 stem/backbone,not finite-width,100-epoch fine-tune,SELECTED,exact fold and fine-tune gain,CIFAR-10 official TEST,R6_FINAL_REPORT.md; r6_summary.json
R7 Head BN to pow2 affine,R6,remove head BN; signed-pow2 K,85.22,-0.3,284250,"54,263,808 binary-conv terms; 640 classifier terms",FP B,W1A1 stem/backbone,not finite-width,100-epoch fine-tune,SELECTED,head path without standalone BN,CIFAR-10 official TEST,R7_FINAL_REPORT.md; r7_summary.json
R8A W1 FC,R7,binary FC weights,82.84,-2.38,284250,"54,263,808 binary-conv terms; 640 sign-select FC terms",FP B/FC bias,W1A1 stem/backbone,not finite-width,100-epoch fine-tune,REJECTED,2.56 pp below R8B,CIFAR-10 official TEST,R8_FINAL_REPORT.md; r8a_summary.json
R8B Signed-pow2 FC,R7,signed-pow2 FC weights,85.4,0.18,284250,"54,263,808 binary-conv terms; 640 signed-pow2 FC shift terms",FP B/FC bias,W1A1 stem/backbone,not finite-width,100-epoch fine-tune,SELECTED,formal software model baseline,CIFAR-10 official TEST,R8_FINAL_REPORT.md; r8b_summary.json
H0 INT8 bias,R8B,quantize 21 bias tensors to INT8,85.12,-0.28,284250,"54,263,808 binary-conv terms; 640 signed-pow2 FC shift terms",INT8,float/reference,not finite-width,no training,ABLATION,comparison point,CIFAR-10 official TEST,H0_INTEGER_BIAS_SWEEP_RESULTS.json
H0 INT7 bias,R8B,quantize 21 bias tensors to INT7,85.06,-0.34,284250,"54,263,808 binary-conv terms; 640 signed-pow2 FC shift terms",INT7,float/reference,not finite-width,no training,ABLATION,comparison point,CIFAR-10 official TEST,H0_INTEGER_BIAS_SWEEP_RESULTS.json
H0 INT6 bias,R8B,quantize 21 bias tensors to INT6,85.13,-0.27,284250,"54,263,808 binary-conv terms; 640 signed-pow2 FC shift terms",INT6,float/reference,not finite-width,no training,SELECTED,production bias setting,CIFAR-10 official TEST,H0_INTEGER_BIAS_SWEEP_RESULTS.json
H0 INT5 bias,R8B,quantize 21 bias tensors to INT5,84.35,-1.05,284250,"54,263,808 binary-conv terms; 640 signed-pow2 FC shift terms",INT5,float/reference,not finite-width,no training,ABLATION,comparison point,CIFAR-10 official TEST,H0_INTEGER_BIAS_SWEEP_RESULTS.json
H0 INT4 bias,R8B,quantize 21 bias tensors to INT4,83.24,-2.16,284250,"54,263,808 binary-conv terms; 640 signed-pow2 FC shift terms",INT4,float/reference,not finite-width,no training,ABLATION,comparison point,CIFAR-10 official TEST,H0_INTEGER_BIAS_SWEEP_RESULTS.json
H1 uniform INT8,H0 INT6,uniform activation/residual INT8,77.07,-8.06,284250,"54,263,808 binary-conv terms; 640 signed-pow2 FC shift terms",INT6,uniform INT8,not fully finite-width,no training,FAIL,uniform precision rejected,CIFAR-10 official TEST,H1_INTEGER_ACTIVATION_SWEEP_RESULTS.json
H1 uniform INT7,H0 INT6,uniform activation/residual INT7,68.82,-16.31,284250,"54,263,808 binary-conv terms; 640 signed-pow2 FC shift terms",INT6,uniform INT7,not fully finite-width,no training,FAIL,uniform precision rejected,CIFAR-10 official TEST,H1_INTEGER_ACTIVATION_SWEEP_RESULTS.json
H1 uniform INT6,H0 INT6,uniform activation/residual INT6,35.45,-49.68,284250,"54,263,808 binary-conv terms; 640 signed-pow2 FC shift terms",INT6,uniform INT6,not fully finite-width,no training,FAIL,uniform precision rejected,CIFAR-10 official TEST,H1_INTEGER_ACTIVATION_SWEEP_RESULTS.json
H1 uniform INT5,H0 INT6,uniform activation/residual INT5,10.0,-75.13,284250,"54,263,808 binary-conv terms; 640 signed-pow2 FC shift terms",INT6,uniform INT5,not fully finite-width,no training,FAIL,uniform precision rejected,CIFAR-10 official TEST,H1_INTEGER_ACTIVATION_SWEEP_RESULTS.json
H1 uniform INT4,H0 INT6,uniform activation/residual INT4,13.51,-71.62,284250,"54,263,808 binary-conv terms; 640 signed-pow2 FC shift terms",INT6,uniform INT4,not fully finite-width,no training,FAIL,uniform precision rejected,CIFAR-10 official TEST,H1_INTEGER_ACTIVATION_SWEEP_RESULTS.json
H1-S single-node sensitivity,H0 INT6,58 single-node INT8 tests and four scale policies,,,284250,"54,263,808 binary-conv terms; 640 signed-pow2 FC shift terms",INT6,one INT8 node at a time,not fully finite-width,no training,ABLATION,rank sensitive nodes for mixed precision,TRAIN search-validation only; no final official TEST,H1S_SINGLE_NODE_RESULTS.json
H1-MP mixed precision,H0 INT6,58-node mixed bits/shifts/policies,85.03,-0.1,284250,"54,263,808 binary-conv terms; 640 signed-pow2 FC shift terms",INT6,58-node mixed; mean 6.6897 bits,not fully finite-width,no training,SELECTED,official 85.03%; 18/18 residual alignments,CIFAR-10 official TEST,H1MP_SEARCH_RESULTS.json
H2A original,H1-MP,finite-width anchor with rounded GAP >>6,84.92,-0.11,284250,"54,263,808 binary-conv terms; 640 signed-pow2 FC shift terms",INT6,H1MP frozen,exact/conservative; GAP rounded,no training,FAIL,-0.11 pp; original result artifact NOT FOUND,reported official TEST; original artifact NOT FOUND,conversation execution record; original JSON/report NOT FOUND
H2A-v2 safe profile,H1-MP,GAP q_sum with scale shift +6,85.03,0.0,284250,"54,263,808 binary-conv terms; 640 signed-pow2 FC shift terms",INT6,H1MP frozen,GAP16; FC24; logits24; QRP inner30/out38,no training,SAFE PROFILE,zero-loss finite-width profile,CIFAR-10 official TEST,H2_FINITE_WIDTH_RESULTS.json
H2B aggressive profile,H2A-v2,TRAIN-only serial internal-width reduction,84.93,-0.1,284250,"54,263,808 binary-conv terms; 640 signed-pow2 FC shift terms",INT6,H1MP frozen,GAP13; FC16; logits16; QRP inner27/out35,no training,AGGRESSIVE PROFILE,optional minimum-width profile; keep safe profile,CIFAR-10 official TEST,H2B_WIDTH_OPTIMIZATION_RESULTS.json
